Gene ID	source_id	Organism	Product Description	Fold Change	Chosen Ref (floor)	Chosen Comp (floor)	3D7 2020 sense - 0hr 3D7 DAFT-seq	3D7 2020 sense - 8hr 3D7 DAFT-seq	3D7 2020 sense - 16hr 3D7 DAFT-seq	3D7 2020 sense - 40hr 3D7 DAFT-seq	3D7 2020 sense - 32hr 3D7 DAFT-seq	3D7 2020 sense - 48hr 3D7 DAFT-seq	3D7 2020 sense - 24hr 3D7 DAFT-seq
PF3D7_1132300	PF3D7_1132300.1	Plasmodium falciparum 3D7	nucleic acid binding protein, putative	1	70.93	70.93	57.04	51.99	53.39	61.27	91.51	50.11	133.28
PF3D7_1132400	PF3D7_1132400.1	Plasmodium falciparum 3D7	transporter, putative	1	128.04	128.04	118.48	114.15	140.98	125.9	156.69	95.97	175.51
PF3D7_1132500	PF3D7_1132500.1	Plasmodium falciparum 3D7	amino acid transporter, putative	1	2.88	2.88	3.15	3.62	3.38	2.6	2.24	2.29	2.97
PF3D7_1132600	PF3D7_1132600.1	Plasmodium falciparum 3D7	pre-mRNA-splicing factor 38A, putative	1	153.75	153.75	143.77	190.56	190.46	112.29	167.87	125.61	147.59
PF3D7_1132700	PF3D7_1132700.1	Plasmodium falciparum 3D7	50S ribosomal protein L2, putative	1	45.27	45.27	24.71	43.35	46.6	40.19	69.85	49.85	42.9
PF3D7_1132800	PF3D7_1132800.1	Plasmodium falciparum 3D7	aquaglyceroporin	1	361.51	361.51	290.87	219.69	322.74	611.1	338.29	419.53	331.04
PF3D7_1132900	PF3D7_1132900.1	Plasmodium falciparum 3D7	glycine cleavage system H protein	1	27.22	27.22	22.64	14.45	33.64	20.86	37.27	15.11	49.45
PF3D7_1133000	PF3D7_1133000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	31.55	31.55	64.33	17.1	9.36	60.14	30.99	38.02	8
PF3D7_1133100	PF3D7_1133100.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	237.72	237.72	280.67	363.06	332.61	111.21	151.36	194.04	238.18
PF3D7_1133200	PF3D7_1133200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	337.46	337.46	270.29	134.34	121.64	542.22	726.77	324.48	310.14
PF3D7_1133300	PF3D7_1133300.1	Plasmodium falciparum 3D7	cell division control protein CDC50B	1	31.06	31.06	45.13	16.5	3.63	63.88	38.62	36.45	13.75
PF3D7_1133400	PF3D7_1133400.1	Plasmodium falciparum 3D7	apical membrane antigen 1	1	452.88	452.88	808.24	266.03	94.82	740.55	131.78	1098.48	36.07
PF3D7_1133500	PF3D7_1133500.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	20.46	20.46	29.88	13.1	7.83	23.04	25.58	26.66	26.52
PF3D7_1133600	PF3D7_1133600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	44.30	44.3	51.14	50.47	50.23	31.41	33.37	42.8	51.85
PF3D7_1133700	PF3D7_1133700.1	Plasmodium falciparum 3D7	FHA domain-containing protein, putative	1	472.33	472.33	822.61	1024.77	512.37	157.45	127.4	484.47	190.64
PF3D7_1133800	PF3D7_1133800.1	Plasmodium falciparum 3D7	RNA (uracil-5-)methyltransferase	1	219.20	219.2	171.81	187.85	193.24	255.11	286.18	189.86	253.86
PF3D7_1133900	PF3D7_1133900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	128.09	128.09	134.92	162.32	99.7	112.9	158.8	104.29	127.34
PF3D7_1134000	PF3D7_1134000.1	Plasmodium falciparum 3D7	heat shock protein 70	1	537.36	537.36	223.33	452.03	955.42	324.36	512.1	335.95	961.9
PF3D7_1134100	PF3D7_1134100.1	Plasmodium falciparum 3D7	protein disulfide-isomerase, putative	1	57.79	57.79	43.53	49.01	32.54	72.23	81.14	51.19	75.45
PF3D7_1134200	PF3D7_1134200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	101.78	101.78	136.51	147.67	122.32	49.51	72.97	68.24	117.45
PF3D7_1134300	PF3D7_1134300.1	Plasmodium falciparum 3D7	erythrocyte membrane and merozoite antigen EMMA1	1	135.40	135.4	123.86	79.1	54.15	232.6	224.31	144.56	93.05
PF3D7_1134400	PF3D7_1134400.1	Plasmodium falciparum 3D7	WPP motif-containing protein, putative	1	45.02	45.02	25.01	27.27	38.61	49.74	62.77	43.66	68.9
PF3D7_1134500	PF3D7_1134500.1	Plasmodium falciparum 3D7	alpha/beta hydrolase, putative	1	138.13	138.13	131.73	135.96	144.05	134.37	165.87	99.23	158.65
PF3D7_1134600	PF3D7_1134600.1	Plasmodium falciparum 3D7	CCCH-type zinc finger protein ZNF4	1	125.31	125.31	118.11	125.27	185.48	99.56	120	100.03	132.12
PF3D7_1134700	PF3D7_1134700.1	Plasmodium falciparum 3D7	DNA-directed RNA polymerase I subunit RPA2, putative	1	161.95	161.95	162.95	285.93	239.66	67.44	66.96	127.09	185.49
PF3D7_1134800	PF3D7_1134800.1	Plasmodium falciparum 3D7	coatomer subunit delta	1	117.77	117.77	115.49	144.92	117.94	122.92	107.22	103.86	114.88
PF3D7_1134900	PF3D7_1134900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	9.98	9.98	14.6	7.87	7.02	11.65	14.4	10.08	6.77
PF3D7_1135000	PF3D7_1135000.1	Plasmodium falciparum 3D7	PQ-loop repeat-containing protein	1	37.87	37.87	37.52	43.32	24.35	28.05	42.5	26.63	65.54
PF3D7_1135100	PF3D7_1135100.1	Plasmodium falciparum 3D7	protein phosphatase PPM8, putative	1	71.59	71.59	68.9	105.56	51.72	105.15	53.55	78.62	38.17
PF3D7_1135300	PF3D7_1135300.1	Plasmodium falciparum 3D7	plasma membrane resident transporter 1	1	27.85	27.85	27.16	37.85	26.66	29.53	19.76	25.48	28.79
PF3D7_1135400	PF3D7_1135400.1	Plasmodium falciparum 3D7	HotDog domain-containing protein, putative	1	183.37	183.37	112.69	287.51	226.61	106.91	147.14	87.75	316.88
PF3D7_1135500	PF3D7_1135500.1	Plasmodium falciparum 3D7	RNA-binding protein, putative	1	22.76	22.76	20.86	16.59	15.7	23.61	23.74	26.13	34.11
PF3D7_1135600	PF3D7_1135600.1	Plasmodium falciparum 3D7	condensin-2 complex subunit D3, putative	1	50.18	50.18	51.82	43.49	34.62	46.43	65.3	47.28	63.5
PF3D7_1135700	PF3D7_1135700.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	142.34	142.34	134.61	186.68	222.97	69.63	112	107.45	169.85
PF3D7_1135800	PF3D7_1135800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	51.94	51.94	55.16	78.07	85.34	25.14	28.8	31.29	62.6
PF3D7_1135900	PF3D7_1135900.1	Plasmodium falciparum 3D7	3-oxo-5-alpha-steroid 4-dehydrogenase, putative	1	285.88	285.88	305.14	208.5	177.64	428.93	351.78	287.57	254.42
PF3D7_1136000	PF3D7_1136000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	86.20	86.2	82.35	36.9	23.67	152.4	168.24	87.19	72
PF3D7_1136100	PF3D7_1136100.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	8.98	8.98	5.57	7.54	6.76	11	8.69	7.99	15.45
PF3D7_1136200	PF3D7_1136200.1	Plasmodium falciparum 3D7	asparagine-rich merozoite protein ARMA	1	121.93	121.93	117.65	46.52	13.6	331.96	119.82	211.03	15.69
PF3D7_1136300	PF3D7_1136300.1	Plasmodium falciparum 3D7	tudor staphylococcal nuclease	1	242.53	242.53	187.82	274.83	236.78	222.63	297.21	194.93	288.95
PF3D7_1136400	PF3D7_1136400.1	Plasmodium falciparum 3D7	signal recognition particle subunit SRP72, putative	1	266.74	266.74	449.14	300.59	175.65	252.36	215.96	293.31	200.98
PF3D7_1136500	PF3D7_1136500.1	Plasmodium falciparum 3D7	casein kinase 1	1	1383.00	1383	1514.25	1552.17	1429.11	1715.08	839.41	1463.14	1347.91
PF3D7_1136500	PF3D7_1136500.2	Plasmodium falciparum 3D7	casein kinase 1	1	1383.00	1383	1514.25	1552.17	1429.11	1715.08	839.41	1463.14	1347.91
PF3D7_1136600	PF3D7_1136600.1	Plasmodium falciparum 3D7	modulator of ring stage translation MRST	1	245.17	245.17	343.28	353.84	291.16	117.31	144.86	211.17	263.42
PF3D7_1136700	PF3D7_1136700.1	Plasmodium falciparum 3D7	armadillo-interacting protein AIP	1	76.88	76.88	122.61	52.42	19.36	146.9	66.24	105.47	28.44
PF3D7_1136700	PF3D7_1136700.2	Plasmodium falciparum 3D7	armadillo-interacting protein AIP	1	76.88	76.88	122.61	52.42	19.36	146.9	66.24	105.47	28.44
PF3D7_1136800	PF3D7_1136800.1	Plasmodium falciparum 3D7	DnaJ protein, putative	1	84.98	84.98	87.77	119.12	77.7	65.4	72.34	64.14	109.88
PF3D7_1136900	PF3D7_1136900.1	Plasmodium falciparum 3D7	subtilisin-like protease 2	1	202.47	202.47	444.1	117.72	47.74	305.79	63.89	416.98	24.44
PF3D7_1137100	PF3D7_1137100.1	Plasmodium falciparum 3D7	ribosomal protein S9, mitochondrial, putative	1	87.15	87.15	64.71	110.18	123.85	56.16	73.57	58.32	125
PF3D7_1137200	PF3D7_1137200.1	Plasmodium falciparum 3D7	apical exonemal protein	1	64.40	64.4	102.23	34.14	20.08	128.83	58.24	93.4	16.13
PF3D7_1137300	PF3D7_1137300.1	Plasmodium falciparum 3D7	CLPTM1 domain-containing protein, putative	1	241.98	241.98	222.36	338.16	318.32	148.33	181.68	195.23	293.54
PF3D7_1137400	PF3D7_1137400.1	Plasmodium falciparum 3D7	regulator of chromosome condensation, putative	1	57.33	57.33	35.26	41.43	64.05	43	61.87	36.47	119.79
PF3D7_1137500	PF3D7_1137500.1	Plasmodium falciparum 3D7	ribosomal protein S14, apicoplast, putative	1	47.86	47.86	36.76	34.61	24.78	70.49	73.02	38.7	57.85
PF3D7_1137600	PF3D7_1137600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	6.08	6.08	9.62	6.7	5.55	6.41	4.16	7.1	3.26
PF3D7_1137700	PF3D7_1137700.1	Plasmodium falciparum 3D7	calcium-binding protein, putative	1	7.33	7.33	8.05	10.75	7.58	6.99	4.29	8.94	4.68
PF3D7_1137800	PF3D7_1137800.1	Plasmodium falciparum 3D7	sporozoite surface protein essential for liver stage development, putative	1	9.00	9	7.79	10.8	2.82	6.15	8.51	24.19	2.72
PF3D7_1137900	PF3D7_1137900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	5.85	5.85	4.79	8.9	7.41	5.21	2.26	8.52	3.89
PF3D7_1138000	PF3D7_1138000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	150.22	150.22	158.13	65.87	35.86	339.29	217.8	183.76	56.02
PF3D7_1138100	PF3D7_1138100.1	Plasmodium falciparum 3D7	ubiquitin-related modifier 1, putative	1	16.70	16.7	32.09	22.87	13.69	14.94	14.32	11.17	16.75
PF3D7_1138200	PF3D7_1138200.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	12.42	12.42	13.36	11.88	6.27	27.98	19.15	17.37	6.87
PF3D7_1138300	PF3D7_1138300.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	28.94	28.94	28.09	25.42	28.84	45.12	50	37.54	75.51
PF3D7_1138350	PF3D7_1138350.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	42.89	42.89	38.25	64.21	82.29	128.33	65.6	78.99	148.48
PF3D7_1138400	PF3D7_1138400.1	Plasmodium falciparum 3D7	guanylyl cyclase alpha	1	85.81	85.81	76.49	55.23	30.67	171.64	122.45	97.2	48.33
PF3D7_1138500	PF3D7_1138500.1	Plasmodium falciparum 3D7	protein phosphatase PPM2, protein phosphatase 2C	1	496.48	496.48	466.53	588.43	441.19	577.62	446.18	474.56	527.99
PF3D7_1138600	PF3D7_1138600.1	Plasmodium falciparum 3D7	beta-catenin-like protein 1, putative	1	81.27	81.27	94.98	109.31	74.15	53.83	81.51	52.4	103.3
PF3D7_1138700	PF3D7_1138700.1	Plasmodium falciparum 3D7	protein KIC5	1	246.40	246.4	523.88	267.87	180.59	200.23	95.06	351	112.39
PF3D7_1138800	PF3D7_1138800.1	Plasmodium falciparum 3D7	WD repeat-containing protein, putative	1	209.21	209.21	211.35	264.92	236.45	161.12	215.14	170.25	209.42
PF3D7_1139100	PF3D7_1139100.1	Plasmodium falciparum 3D7	RNA-binding protein, putative	1	76.91	76.91	90.52	138.21	80.38	39.71	55.35	50.35	85.43
PF3D7_1139200	PF3D7_1139200.1	Plasmodium falciparum 3D7	VPS9 domain-containing protein, putative	1	25.01	25.01	27.8	32.73	24.66	15.49	26.56	16.01	32.65
PF3D7_1139300	PF3D7_1139300.1	Plasmodium falciparum 3D7	AP2 domain transcription factor AP2-G5	1	250.59	250.59	202.18	378.14	374.86	133.24	186.19	152.72	332.27
PF3D7_1139500	PF3D7_1139500.1	Plasmodium falciparum 3D7	AAA family ATPase, putative	1	6.47	6.47	3.52	8.77	6.09	5.32	5.34	7.93	8.44
PF3D7_1139600	PF3D7_1139600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	9.87	9.87	7.21	12.43	11.69	5.33	6.03	9.11	17.31
PF3D7_1139700	PF3D7_1139700.1	Plasmodium falciparum 3D7	adrenodoxin reductase, putative	1	63.18	63.18	118.98	49.05	29.06	65.25	60.95	95.19	45.81
PF3D7_1139800	PF3D7_1139800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	89.63	89.63	95.87	83.02	63.22	94.54	125.58	72.55	102.86
PF3D7_1139900	PF3D7_1139900.1	Plasmodium falciparum 3D7	ER membrane protein complex subunit 8, putative	1	88.17	88.17	72.77	110.77	109.79	50.6	92.2	45.47	137.41
PF3D7_1140000	PF3D7_1140000.1	Plasmodium falciparum 3D7	carbonic anhydrase	1	3.70	3.7	6.08	3.6	2.02	5.45	2.03	5.98	1.03
PF3D7_1140100	PF3D7_1140100.1	Plasmodium falciparum 3D7	V-type proton ATPase subunit F, putative	1	87.13	87.13	86.39	94.33	86.88	76.76	80.05	57.05	136.33
PF3D7_1140200	PF3D7_1140200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	267.54	267.54	215.81	120.12	243.88	318.6	476.67	250.14	273.29
PF3D7_1140300	PF3D7_1140300.1	Plasmodium falciparum 3D7	P-loop containing nucleoside triphosphate hydrolase, putative	1	32.91	32.91	36.73	32.31	24.36	35.44	37.75	33.36	38.7
PF3D7_1140400	PF3D7_1140400.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	219.73	219.73	177.76	92.8	29.52	625.91	217.08	387.43	38.04
PF3D7_1140500	PF3D7_1140500.1	Plasmodium falciparum 3D7	myosin K, putative	1	21.08	21.08	23	23.9	18.67	23.15	15.15	27.84	15.92
PF3D7_1140600	PF3D7_1140600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	65.40	65.4	102.18	37.39	18.23	136.71	67.71	92.91	13.63
PF3D7_1140700	PF3D7_1140700.1	Plasmodium falciparum 3D7	chromo domain-containing protein CDP	1	163.23	163.23	175.55	200.99	231.6	86.81	121.15	131.29	215.75
PF3D7_1140800	PF3D7_1140800.1	Plasmodium falciparum 3D7	CID domain-containing protein, putative	1	102.31	102.31	112.92	167.33	97.32	63.52	67.93	70.29	139.9
PF3D7_1140900	PF3D7_1140900.1	Plasmodium falciparum 3D7	NdP1 protein, putative	1	33.63	33.63	32.06	19.59	15.56	44.9	54.54	29.75	39.68
PF3D7_1141000	PF3D7_1141000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	9.27	9.27	10.42	11.05	10.15	8.71	8.36	8.35	7.96
PF3D7_1141100	PF3D7_1141100.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	12.88	12.88	13.47	17.52	14.95	11.05	7.64	15.04	11.95
PF3D7_1141200	PF3D7_1141200.1	Plasmodium falciparum 3D7	ATP synthase-associated protein, putative	1	53.72	53.72	43.37	41.64	50.38	62.92	67.43	69.96	51.29
PF3D7_1141300	PF3D7_1141300.1	Plasmodium falciparum 3D7	apical polar ring protein APR1, putative	1	171.58	171.58	150.93	108.26	89.91	254.62	276.88	179.11	146.27
PF3D7_1141400	PF3D7_1141400.1	Plasmodium falciparum 3D7	phosphatidylinositol N-acetylglucosaminyltransferase subunit H, putative	1	185.48	185.48	140.34	92.31	90.62	250.74	333.54	174.82	226.5
PF3D7_1141500	PF3D7_1141500.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	12.87	12.87	12.67	19.15	12	12.32	13.22	19.14	14.76
PF3D7_1141600	PF3D7_1141600.1	Plasmodium falciparum 3D7	dolichol-phosphate mannosyltransferase	1	36.74	36.74	19.9	26.96	25.84	36.79	51.29	19.76	76.63
PF3D7_1141700	PF3D7_1141700.1	Plasmodium falciparum 3D7	OTU domain-containing protein, putative	1	72.10	72.1	50.25	53.67	82.98	68.77	99.98	47.79	104
PF3D7_1141800	PF3D7_1141800.1	Plasmodium falciparum 3D7	EELM2 domain-containing protein, putative	1	82.48	82.48	58.83	30.32	19.03	203.98	136.24	111.51	25.26
PF3D7_1141900	PF3D7_1141900.1	Plasmodium falciparum 3D7	inner membrane complex protein 1b, putative	1	20.89	20.89	16.64	27.95	21.3	19.14	11.83	29.66	20.16
PF3D7_1142000	PF3D7_1142000.1	Plasmodium falciparum 3D7	heptatricopeptide repeat-containing protein, putative	1	20.97	20.97	20.27	16.45	15.18	16.29	22.32	16.51	40.14
PF3D7_1142100	PF3D7_1142100.1	Plasmodium falciparum 3D7	DnaJ domain-containing protein, putative	1	359.03	359.03	455.77	491.73	313.99	308.78	336.86	365.27	250.8
PF3D7_1142200	PF3D7_1142200.1	Plasmodium falciparum 3D7	vacuolar protein sorting-associated protein IST1-like, putative	1	13.24	13.24	15.43	8.29	9.47	11.98	11.8	9.11	27.05
PF3D7_1142300	PF3D7_1142300.1	Plasmodium falciparum 3D7	conserved Plasmodium membrane protein, unknown function	1	134.94	134.94	101.59	72.96	79.56	214.13	199.89	149.45	129.55
PF3D7_1142400	PF3D7_1142400.1	Plasmodium falciparum 3D7	coproporphyrinogen-III oxidase	1	139.12	139.12	120.74	196.83	149.46	103.41	118.95	91.43	193.92
PF3D7_1142500	PF3D7_1142500.1	Plasmodium falciparum 3D7	60S ribosomal protein L28	1	165.69	165.69	83.17	233.79	273.31	93.83	123.6	105.71	257.26
PF3D7_1142600	PF3D7_1142600.1	Plasmodium falciparum 3D7	60S ribosomal protein L35ae, putative	1	508.13	508.13	338.87	703.77	963.51	285.42	191.79	304.93	782.61
PF3D7_1142700	PF3D7_1142700.1	Plasmodium falciparum 3D7	methyltransferase, putative	1	100.60	100.6	62.05	167.3	174.79	48.26	59.03	66.49	127.64
PF3D7_1142800	PF3D7_1142800.1	Plasmodium falciparum 3D7	ATP synthase-associated protein, putative	1	73.54	73.54	51.55	54.89	68.27	77.7	118.22	60.76	85.15
PF3D7_1142900	PF3D7_1142900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	75.45	75.45	115.98	40.69	22.03	150.69	77.65	103.03	19.42
PF3D7_1143000	PF3D7_1143000.1	Plasmodium falciparum 3D7	alpha/beta hydrolase, putative	1	22.53	22.53	22.25	31.23	13.81	23.85	14.16	20.94	31.79
PF3D7_1143100	PF3D7_1143100.1	Plasmodium falciparum 3D7	AP2 domain transcription factor AP2-O	1	351.76	351.76	739.97	220.37	86.2	542.08	118.93	718.49	47.22
PF3D7_1143200	PF3D7_1143200.1	Plasmodium falciparum 3D7	DnaJ protein, putative	1	120.05	120.05	110.17	49.62	37.36	224.28	206.43	129.74	85.79
PF3D7_1143300	PF3D7_1143300.1	Plasmodium falciparum 3D7	DNA-directed RNA polymerases I and III subunit RPAC1, putative	1	220.86	220.86	184.63	305.91	332.05	136.24	164.24	166.27	262.47
PF3D7_1143400	PF3D7_1143400.1	Plasmodium falciparum 3D7	translation initiation factor eIF-1A, putative	1	239.33	239.33	177.41	258.91	335.83	168.71	279.4	173.77	314.46
PF3D7_1143500	PF3D7_1143500.1	Plasmodium falciparum 3D7	regulator of chromosome condensation, putative	1	131.92	131.92	144.2	133.16	108.35	145.13	142.77	136.18	115.21
PF3D7_1143600	PF3D7_1143600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	58.44	58.44	66.33	62.74	79.69	44.44	44.09	66.42	47.64
PF3D7_1143700	PF3D7_1143700.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	25.14	25.14	30.65	30.33	23.53	18.78	15.81	28.21	29.07
PF3D7_1143800	PF3D7_1143800.1	Plasmodium falciparum 3D7	oocyst capsule protein Cap93, putative	1	252.64	252.64	320.95	292.22	240.1	230.54	138.23	355.24	195.61
PF3D7_1143900	PF3D7_1143900.1	Plasmodium falciparum 3D7	ATP-dependent (S)-NAD(P)H-hydrate dehydratase, putative	1	25.48	25.48	18.77	32.64	38.36	19	16.34	17.41	36.32
PF3D7_1144000	PF3D7_1144000.1	Plasmodium falciparum 3D7	40S ribosomal protein S21	1	600.26	600.26	234.59	794.99	936.33	418.96	533.84	566.21	733.35
PF3D7_1144100	PF3D7_1144100.1	Plasmodium falciparum 3D7	mitochondrial large subunit ribosomal protein, putative	1	56.93	56.93	47.57	48.38	64	72.49	83.17	62.74	94.62
PF3D7_1144200	PF3D7_1144200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	89.67	89.67	106.64	92.16	145.76	55.76	82.59	61.6	118.32
PF3D7_1144300	PF3D7_1144300.1	Plasmodium falciparum 3D7	60S ribosomal protein L41	1	298.80	298.8	139.59	311.85	480.64	212.81	325.09	265.58	386.21
PF3D7_1144400	PF3D7_1144400.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	15.44	15.44	18.26	16.85	18.89	13.47	11.52	18.9	13.43
PF3D7_1144500	PF3D7_1144500.1	Plasmodium falciparum 3D7	SUMO-activating enzyme subunit 1	1	41.94	41.94	36.79	50.4	48.31	27.57	44.63	26.02	60.56
PF3D7_1144600	PF3D7_1144600.1	Plasmodium falciparum 3D7	transcription initiation factor IIF subunit beta, putative	1	82.66	82.66	87.64	129.63	84.44	45.45	70.91	48.85	112.46
PF3D7_1144700	PF3D7_1144700.1	Plasmodium falciparum 3D7	apicoplast import protein Tic20, putative	1	53.79	53.79	34.94	41.93	35.47	61.79	78.1	54.17	71.09
PF3D7_1144800	PF3D7_1144800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	54.82	54.82	73.42	50.13	49.94	51.35	48.84	69.8	42.68
PF3D7_1144900	PF3D7_1144900.1	Plasmodium falciparum 3D7	ras-related protein Rab-6	1	226.19	226.19	174.51	167.22	163.24	337.95	317	248.07	180.21
PF3D7_1145000	PF3D7_1145000.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	27.55	27.55	42.64	23.04	18.25	37.2	23	40.27	12.21
PF3D7_1145100	PF3D7_1145100.1	Plasmodium falciparum 3D7	coatomer subunit gamma, putative	1	130.16	130.16	115.52	185.41	107.43	131.24	113.52	98.65	162.27
PF3D7_1145200	PF3D7_1145200.1	Plasmodium falciparum 3D7	serine/threonine protein kinase, putative	1	324.16	324.16	360.09	137.95	46.43	840.36	319.94	532.36	43.94
PF3D7_1145300	PF3D7_1145300.1	Plasmodium falciparum 3D7	cysteine-rich PDZ-binding protein, putative	1	49.01	49.01	34.07	58.1	64.14	60.08	39.18	50.34	47.04
PF3D7_1145400	PF3D7_1145400.1	Plasmodium falciparum 3D7	dynamin-like protein	1	186.99	186.99	141.76	141.62	103.38	303.8	264.11	207.15	152.71
PF3D7_1145500	PF3D7_1145500.1	Plasmodium falciparum 3D7	ABC transporter B family member 3, putative	1	34.55	34.55	26.19	23.65	23.59	31.15	43.97	22.91	71.01
PF3D7_1145600	PF3D7_1145600.1	Plasmodium falciparum 3D7	TMEM65 domain-containing protein, putative	1	68.79	68.79	78.33	52.14	50.59	80.47	96.32	78.98	45.32
PF3D7_1145700	PF3D7_1145700.1	Plasmodium falciparum 3D7	bicoid-interacting protein BIN3, putative	1	28.96	28.96	33.69	24.9	17.96	37.59	35.52	29.55	25.24
PF3D7_1145800	PF3D7_1145800.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	78.40	78.4	69.49	110.69	108.59	43.3	58.97	49.92	108.67
PF3D7_1145900	PF3D7_1145900.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	64.37	64.37	62.72	79.03	66.86	64.47	42.8	88.77	51.46
PF3D7_1146000	PF3D7_1146000.1	Plasmodium falciparum 3D7	ribosome assembly protein 4, putative	1	119.16	119.16	100.81	182.43	179.52	56.6	82.75	90.68	142.95
PF3D7_1146100	PF3D7_1146100.1	Plasmodium falciparum 3D7	PH-like domain-containing protein, putative	1	35.83	35.83	42.93	46.92	45.54	30.1	18.96	47.52	22.51
PF3D7_1146200	PF3D7_1146200.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	38.84	38.84	57.33	38.06	39.53	35.02	17.29	48.09	41.43
PF3D7_1146300	PF3D7_1146300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	12.73	12.73	22.19	9.43	11.97	13.68	7.32	19.04	6.19
PF3D7_1146500	PF3D7_1146500.1	Plasmodium falciparum 3D7	leucine-rich repeat protein	1	7.22	7.22	9.94	12.21	5.85	5.89	2.49	7.94	6.72
PF3D7_1146600	PF3D7_1146600.1	Plasmodium falciparum 3D7	oocyst rupture protein 1, putative	1	256.49	256.49	471.93	114.63	60.57	430	237.31	414.73	87.46
PF3D7_1146700	PF3D7_1146700.1	Plasmodium falciparum 3D7	kinesin-X4, putative	1	5.10	5.1	4.92	6.04	3.92	7.77	4.73	5.24	4.12
PF3D7_1146800	PF3D7_1146800.1	Plasmodium falciparum 3D7	female development protein FD2, putative	1	83.59	83.59	87.29	104.83	98.22	63.22	61.89	100.84	72.16
PF3D7_1146900	PF3D7_1146900.1	Plasmodium falciparum 3D7	protein YIPF6, putative	1	59.71	59.71	65.61	57.31	68.92	54.54	58.49	58.38	55.53
PF3D7_1147000	PF3D7_1147000.1	Plasmodium falciparum 3D7	sporozoite and liver stage asparagine-rich protein	1	14.31	14.31	16.89	14.48	7.68	20.55	14.47	17.6	8.89
PF3D7_1147100	PF3D7_1147100.1	Plasmodium falciparum 3D7	dynein light chain, putative	1	17.26	17.26	25.89	17.39	20.13	12.09	16.7	18.56	10.06
PF3D7_1147200	PF3D7_1147200.1	Plasmodium falciparum 3D7	tubulin--tyrosine ligase, putative	1	28.05	28.05	36.34	31.58	23.5	29.19	19.9	36.38	19.97
PF3D7_1147300	PF3D7_1147300.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	233.99	233.99	234.6	152.61	177.63	256.88	327.48	193.62	298.24
PF3D7_1147400	PF3D7_1147400.1	Plasmodium falciparum 3D7	COX2 transmembrane domain-containing protein, putative	1	70.16	70.16	57.76	32.54	25.24	120.37	114	95.57	48.48
PF3D7_1147500	PF3D7_1147500.1	Plasmodium falciparum 3D7	protein farnesyltransferase subunit beta	1	30.28	30.28	25.16	41.6	41.54	14.98	22.13	16.26	51.08
PF3D7_1147600	PF3D7_1147600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	40.46	40.46	40.66	35.18	22.5	50.45	44.56	40.34	50.78
