Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
PF3D7_0817400	PF3D7_0817400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:794,136..798,695(-)	phosphatase, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	GO:0003690;GO:0046404;GO:0046403	double-stranded DNA binding;polydeoxyribonucleotide 5'-hydroxyl-kinase activity;polynucleotide 3'-phosphatase activity	GO:0006281;GO:0046939	DNA repair;nucleotide phosphorylation	N/A	N/A
PF3D7_0817500	PF3D7_0817500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:798,401..800,807(+)	histidine triad nucleotide-binding protein 1	GO:0016021	integral component of membrane	GO:0003824	catalytic activity	N/A	N/A	GO:0005737;GO:0005783	cytoplasm;endoplasmic reticulum	GO:0016787;GO:0008426	hydrolase activity;protein kinase C inhibitor activity	GO:0055074;GO:0006508	calcium ion homeostasis;proteolysis	N/A	3.6.1.29 (Bis(5'-adenosyl)-triphosphatase);3.6.2.1 (Adenylylsulfatase)
PF3D7_0817600	PF3D7_0817600.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:800,326..804,715(-)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0817700	PF3D7_0817700.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:804,723..814,055(-)	rhoptry neck protein 5	N/A	N/A	N/A	N/A	N/A	N/A	GO:0032991;GO:1990225	protein-containing complex;rhoptry neck	GO:0003723;GO:0046812	RNA binding;host cell surface binding	N/A	N/A	N/A	N/A
PF3D7_0817800	PF3D7_0817800.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:814,303..815,974(+)	respiratory chain complex 3 associated protein 3	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005750	mitochondrial respiratory chain complex III	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0817900	PF3D7_0817900.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:816,742..818,583(-)	high mobility group protein B2	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005694;GO:0005829;GO:0005634	chromosome;cytosol;nucleus	GO:0003677;GO:0008301	DNA binding;DNA binding, bending	GO:0002720;GO:0006357;GO:0006359;GO:0006355	positive regulation of cytokine production involved in immune response;regulation of transcription by RNA polymerase II;regulation of transcription by RNA polymerase III;regulation of transcription, DNA-templated	N/A	N/A
PF3D7_0818000	PF3D7_0818000.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:819,137..822,699(+)	U4/U6.U5 small nuclear ribonucleoprotein, putative	GO:0005634	nucleus	N/A	N/A	GO:0008380;GO:0006397	RNA splicing;mRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0818100	PF3D7_0818100.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:823,912..827,305(+)	C3H1-type zinc finger protein CZIF2	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	GO:0005829;GO:0016020	cytosol;membrane	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0818200	PF3D7_0818200.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:827,788..832,382(+)	14-3-3 protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005737;GO:1903561;GO:0020020;GO:0005634	cytoplasm;extracellular vesicle;food vacuole;nucleus	GO:0003723;GO:0042393;GO:0005515	RNA binding;histone binding;protein binding	GO:0044409	entry into host	N/A	3.1.1.4 (Phospholipase A(2))
PF3D7_0818300	PF3D7_0818300.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:833,185..835,334(+)	dynactin subunit 6, putative	GO:0005737;GO:0005869	cytoplasm;dynactin complex	N/A	N/A	N/A	N/A	GO:0005869	dynactin complex	GO:0070840	dynein complex binding	GO:0007052	mitotic spindle organization	N/A	N/A
PF3D7_0818400	PF3D7_0818400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:835,358..837,041(-)	rRNA-processing protein FCF1, putative	GO:0032040	small-subunit processome	N/A	N/A	GO:0006364	rRNA processing	GO:0005730;GO:0032040	nucleolus;small-subunit processome	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0818500	PF3D7_0818500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:841,264..844,248(+)	zinc finger protein, putative	N/A	N/A	GO:0003677;GO:0008270	DNA binding;zinc ion binding	N/A	N/A	N/A	N/A	GO:0008270	zinc ion binding	N/A	N/A	N/A	N/A
PF3D7_0818600	PF3D7_0818600.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:844,765..847,530(-)	BEM46-like protein, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0009986;GO:0016020;GO:0005886	cell surface;membrane;plasma membrane	GO:0016298;GO:0008474	lipase activity;palmitoyl-(protein) hydrolase activity	GO:0048469;GO:0044409;GO:0006629	cell maturation;entry into host;lipid metabolic process	N/A	3.1.1.- (Carboxylic ester hydrolases.)
PF3D7_0818700	PF3D7_0818700.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:847,541..854,736(-)	DNA helicase, putative	N/A	N/A	GO:0005524;GO:0003678	ATP binding;DNA helicase activity	N/A	N/A	GO:0005634	nucleus	GO:0008094;GO:0003677;GO:0003682	ATP-dependent activity, acting on DNA;DNA binding;chromatin binding	GO:0043044	ATP-dependent chromatin remodeling	3.6.4.12 (DNA helicase)	3.6.1.3 (Deleted entry);3.6.4.12 (DNA helicase)
PF3D7_0818800	PF3D7_0818800.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:855,347..857,162(-)	U3 small nucleolar ribonucleoprotein protein IMP4, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0034457;GO:0005730;GO:0032040;GO:0005732	Mpp10 complex;nucleolus;small-subunit processome;sno(s)RNA-containing ribonucleoprotein complex	GO:0030515	snoRNA binding	GO:0006396;GO:0006364;GO:0042274	RNA processing;rRNA processing;ribosomal small subunit biogenesis	N/A	N/A
PF3D7_0818900	PF3D7_0818900.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:858,550..862,980(+)	heat shock protein 70	N/A	N/A	N/A	N/A	N/A	N/A	GO:0009986;GO:0005737;GO:0005829;GO:1903561;GO:0020020;GO:0005634	cell surface;cytoplasm;cytosol;extracellular vesicle;food vacuole;nucleus	GO:0005524;GO:0016887;GO:0003723;GO:0031072;GO:0051787;GO:0032266;GO:0005515;GO:0044183;GO:0051082	ATP binding;ATP hydrolysis activity;RNA binding;heat shock protein binding;misfolded protein binding;phosphatidylinositol-3-phosphate binding;protein binding;protein folding chaperone;unfolded protein binding	GO:0034620;GO:0051085;GO:0042026;GO:0009408;GO:0006986	cellular response to unfolded protein;chaperone cofactor-dependent protein refolding;protein refolding;response to heat;response to unfolded protein	N/A	1.3.1.74 (2-alkenal reductase (NAD(P)(+)));3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.4.10 (Non-chaperonin molecular chaperone ATPase)
PF3D7_0819000	PF3D7_0819000.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:863,419..868,820(-)	ribonuclease, putative	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	N/A	N/A	GO:0006379;GO:0006378	mRNA cleavage;mRNA polyadenylation	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	GO:0003723	RNA binding	GO:0006398;GO:0006378;GO:0098789	mRNA 3'-end processing by stem-loop binding and cleavage;mRNA polyadenylation;pre-mRNA cleavage required for polyadenylation	N/A	N/A
PF3D7_0819100	PF3D7_0819100.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:869,033..871,357(+)	BRIX domain, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0030687	preribosome, large subunit precursor	GO:0019843	rRNA binding	GO:0000027	ribosomal large subunit assembly	N/A	N/A
PF3D7_0819200	PF3D7_0819200.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:871,410..873,440(+)	perforin-like protein 5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0044409	entry into host	N/A	N/A
PF3D7_0819300	PF3D7_0819300.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:873,926..877,521(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0819400	PF3D7_0819400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:878,495..880,459(+)	perforin-like protein 4	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0045177;GO:0071944;GO:0031982	apical part of cell;cell periphery;vesicle	N/A	N/A	GO:0044409	entry into host	N/A	N/A
PF3D7_0819500	PF3D7_0819500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:881,047..884,462(+)	conserved protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0819600	PF3D7_0819600.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:884,484..887,623(-)	ubiquitin-like protein, putative	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0819700	PF3D7_0819700.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:888,126..890,471(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020011;GO:0005634	apicoplast;nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0819800	PF3D7_0819800.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:891,658..898,502(-)	tetratricopeptide repeat protein, putative	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0819900	PF3D7_0819900.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:898,831..899,705(-)	U6 snRNA-associated Sm-like protein LSm3, putative	N/A	N/A	GO:0003723	RNA binding	GO:0000398;GO:0000956	mRNA splicing, via spliceosome;nuclear-transcribed mRNA catabolic process	GO:1990726;GO:0000932;GO:0046540;GO:0005688;GO:0071013;GO:0005634;GO:0071011;GO:0005732	Lsm1-7-Pat1 complex;P-body;U4/U6 x U5 tri-snRNP complex;U6 snRNP;catalytic step 2 spliceosome;nucleus;precatalytic spliceosome;sno(s)RNA-containing ribonucleoprotein complex	GO:0003723	RNA binding	GO:0033962;GO:0008380;GO:0000375;GO:0000398	P-body assembly;RNA splicing;RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome	N/A	N/A
PF3D7_0820000	PF3D7_0820000.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:900,195..908,628(-)	Snf2-related CBP activator, putative	N/A	N/A	GO:0005524;GO:0003677	ATP binding;DNA binding	N/A	N/A	GO:0000812;GO:0005737;GO:0016020;GO:0005634	Swr1 complex;cytoplasm;membrane;nucleus	GO:0005524;GO:0016887;GO:0004386;GO:0042393;GO:0003713	ATP binding;ATP hydrolysis activity;helicase activity;histone binding;transcription coactivator activity	GO:0043044;GO:0006338;GO:0016458;GO:0043486	ATP-dependent chromatin remodeling;chromatin remodeling;gene silencing;histone exchange	N/A	2.7.11.1 (Non-specific serine/threonine protein kinase);3.6.4.- (Acting on ATP; involved in cellular and subcellular movement.)
PF3D7_0820100	PF3D7_0820100.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:909,083..910,928(-)	RNA-binding protein, putative	N/A	N/A	GO:0003723	RNA binding	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0820200	PF3D7_0820200.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:911,627..915,386(-)	phosphatidylglycerophosphate synthase	N/A	N/A	GO:0005524;GO:0008444;GO:0003824	ATP binding;CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity;catalytic activity	GO:0032049	cardiolipin biosynthetic process	GO:0005739	mitochondrion	GO:0008444	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	GO:0032049;GO:0006072;GO:0006655	cardiolipin biosynthetic process;glycerol-3-phosphate metabolic process;phosphatidylglycerol biosynthetic process	2.7.8.5 (CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase)	2.7.8.5 (CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase)
PF3D7_0820300	PF3D7_0820300.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:917,497..921,911(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0820400	PF3D7_0820400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:921,931..924,596(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0044228;GO:0005739	host cell surface;mitochondrion	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0820500	PF3D7_0820500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:925,054..927,974(+)	protein transport protein YIF1, putative	GO:0005789	endoplasmic reticulum membrane	N/A	N/A	GO:0006888;GO:0015031	endoplasmic reticulum to Golgi vesicle-mediated transport;protein transport	GO:0030134;GO:0005789;GO:0005793;GO:0030173	COPII-coated ER to Golgi transport vesicle;endoplasmic reticulum membrane;endoplasmic reticulum-Golgi intermediate compartment;integral component of Golgi membrane	N/A	N/A	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	N/A	N/A
PF3D7_0820600	PF3D7_0820600.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:928,546..930,946(+)	conserved protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0820700	PF3D7_0820700.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:931,673..935,916(+)	2-oxoglutarate dehydrogenase E1 component	N/A	N/A	GO:0016624;GO:0004591;GO:0030976	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;oxoglutarate dehydrogenase (succinyl-transferring) activity;thiamine pyrophosphate binding	GO:0055114;GO:0006099	oxidation-reduction process;tricarboxylic acid cycle	GO:0005759;GO:0005739;GO:0045252	mitochondrial matrix;mitochondrion;oxoglutarate dehydrogenase complex	GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity	GO:0006103;GO:0006099	2-oxoglutarate metabolic process;tricarboxylic acid cycle	1.2.4.2 (Oxoglutarate dehydrogenase (succinyl-transferring))	1.2.1.52 (Oxoglutarate dehydrogenase (NADP(+)));1.2.4.2 (Oxoglutarate dehydrogenase (succinyl-transferring));2.2.1.5 (2-hydroxy-3-oxoadipate synthase);2.3.1.61 (Dihydrolipoyllysine-residue succinyltransferase);4.1.1.71 (2-oxoglutarate decarboxylase)
PF3D7_0820800	PF3D7_0820800.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:936,266..939,277(-)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0820900	PF3D7_0820900.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:939,305..944,689(-)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0821000	PF3D7_0821000.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:948,437..951,284(+)	conserved Plasmodium protein, unknown function	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	GO:0003723	RNA binding	N/A	N/A	N/A	N/A
PF3D7_0821100	PF3D7_0821100.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:952,488..956,466(+)	protein kinase 1	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	GO:0005737;GO:0005829	cytoplasm;cytosol	GO:0004674	protein serine/threonine kinase activity	GO:0007165	signal transduction	2.7.11.1 (Non-specific serine/threonine protein kinase)	2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0821200	PF3D7_0821200.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:957,099..958,258(+)	conserved protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0821300	PF3D7_0821300.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:958,332..962,154(-)	ATP-dependent RNA helicase DHX36, putative	N/A	N/A	GO:0005524;GO:0004386;GO:0003676	ATP binding;helicase activity;nucleic acid binding	N/A	N/A	GO:0005681	spliceosomal complex	GO:0003723;GO:0003724	RNA binding;RNA helicase activity	GO:0000398	mRNA splicing, via spliceosome	3.6.4.13 (RNA helicase)	3.6.4.13 (RNA helicase)
PF3D7_0821400	PF3D7_0821400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:964,289..967,130(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005634	nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0821500	PF3D7_0821500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:967,747..969,151(-)	ribosomal RNA small subunit methyltransferase NEP1, putative	N/A	N/A	GO:0008168	methyltransferase activity	N/A	N/A	GO:0005730;GO:0032040	nucleolus;small-subunit processome	GO:0070037;GO:0019843	rRNA (pseudouridine) methyltransferase activity;rRNA binding	GO:0070475;GO:0042274;GO:0042254	rRNA base methylation;ribosomal small subunit biogenesis;ribosome biogenesis	2.1.1.260 (rRNA small subunit pseudouridine methyltransferase Nep1)	2.1.1.260 (rRNA small subunit pseudouridine methyltransferase Nep1)
PF3D7_0821600	PF3D7_0821600.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:969,674..972,177(+)	polyribonucleotide 5'-hydroxyl-kinase Clp1, putative	N/A	N/A	GO:0005524;GO:0046404	ATP binding;polydeoxyribonucleotide 5'-hydroxyl-kinase activity	N/A	N/A	GO:0005634;GO:0000214	nucleus;tRNA-intron endonuclease complex	GO:0051733;GO:0051731	polydeoxyribonucleotide kinase activity;polynucleotide 5'-hydroxyl-kinase activity	GO:0006396;GO:0006378;GO:0006388	RNA processing;mRNA polyadenylation;tRNA splicing, via endonucleolytic cleavage and ligation	2.7.1.78 (Polynucleotide 5'-hydroxyl-kinase)	2.7.1.78 (Polynucleotide 5'-hydroxyl-kinase)
PF3D7_0821700	PF3D7_0821700.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:972,554..974,543(+)	60S ribosomal protein L22, putative	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	GO:0022625;GO:0005634	cytosolic large ribosomal subunit;nucleus	GO:0003723;GO:0003735	RNA binding;structural constituent of ribosome	GO:0002181;GO:0006412	cytoplasmic translation;translation	N/A	N/A
PF3D7_0821800	PF3D7_0821800.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:974,967..976,983(+)	protein transport protein SEC61 subunit beta, putative	GO:0005784;GO:0016021	Sec61 translocon complex;integral component of membrane	N/A	N/A	GO:0006886	intracellular protein transport	GO:0005784;GO:0005783;GO:0031205;GO:0005634	Sec61 translocon complex;endoplasmic reticulum;endoplasmic reticulum Sec complex;nucleus	N/A	N/A	GO:0006616;GO:0006886;GO:0031204;GO:0043952	SRP-dependent cotranslational protein targeting to membrane, translocation;intracellular protein transport;posttranslational protein targeting to membrane, translocation;protein transport by the Sec complex	N/A	N/A
PF3D7_0821900	PF3D7_0821900.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:976,989..978,474(-)	WPP motif-containing protein, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005739	mitochondrion	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0822000	PF3D7_0822000.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:978,451..980,772(+)	ribosomal protein L4, mitochondrial, putative	GO:0005840	ribosome	GO:0003735	structural constituent of ribosome	GO:0006412	translation	GO:0005739	mitochondrion	GO:0003735	structural constituent of ribosome	N/A	N/A	N/A	N/A
PF3D7_0822100	PF3D7_0822100.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:980,704..982,153(-)	mediator of RNA polymerase II transcription subunit 7, putative	GO:0016592	mediator complex	GO:0003712	transcription coregulator activity	GO:0006357	regulation of transcription by RNA polymerase II	GO:0070847;GO:0016592	core mediator complex;mediator complex	N/A	N/A	GO:0006357	regulation of transcription by RNA polymerase II	N/A	N/A
PF3D7_0822200	PF3D7_0822200.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:982,546..987,696(+)	phosphorylated CTD interacting factor 1 WW domain-containing protein, putative	GO:0016021	integral component of membrane	GO:0099122;GO:0016422	RNA polymerase II C-terminal domain binding;mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0822300	PF3D7_0822300.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:987,718..989,078(-)	small nuclear ribonucleoprotein G, putative	GO:0005681	spliceosomal complex	GO:0003723	RNA binding	GO:0000387	spliceosomal snRNP assembly	GO:0043186;GO:0034719;GO:0005685;GO:0005689;GO:0005686;GO:0071004;GO:0005687;GO:0046540;GO:0005682;GO:0071013;GO:0071011;GO:1990904;GO:0005732;GO:0097526	P granule;SMN-Sm protein complex;U1 snRNP;U12-type spliceosomal complex;U2 snRNP;U2-type prespliceosome;U4 snRNP;U4/U6 x U5 tri-snRNP complex;U5 snRNP;catalytic step 2 spliceosome;precatalytic spliceosome;ribonucleoprotein complex;sno(s)RNA-containing ribonucleoprotein complex;spliceosomal tri-snRNP	N/A	N/A	GO:0000375;GO:0000398	RNA splicing, via transesterification reactions;mRNA splicing, via spliceosome	N/A	N/A
PF3D7_0822400	PF3D7_0822400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:989,973..992,608(+)	conserved Plasmodium protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0822500	PF3D7_0822500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:992,633..994,306(-)	dynein light chain 1	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0005737	cytoplasm	GO:0003774;GO:0005515	cytoskeletal motor activity;protein binding	N/A	N/A	N/A	N/A
PF3D7_0822600	PF3D7_0822600.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:996,626..1,000,388(+)	protein transport protein SEC23	GO:0030127;GO:0000139;GO:0005789	COPII vesicle coat;Golgi membrane;endoplasmic reticulum membrane	GO:0008270	zinc ion binding	GO:0006888;GO:0006886	endoplasmic reticulum to Golgi vesicle-mediated transport;intracellular protein transport	GO:0030127;GO:0020036;GO:0070971;GO:0005634	COPII vesicle coat;Maurer's cleft;endoplasmic reticulum exit site;nucleus	GO:0005096	GTPase activator activity	GO:0090110;GO:0006888	COPII-coated vesicle cargo loading;endoplasmic reticulum to Golgi vesicle-mediated transport	N/A	4.2.1.- (Hydro-lyases.)
PF3D7_0822700	PF3D7_0822700.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,000,443..1,004,032(-)	thrombospondin-related protein 1, putative	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0071944;GO:0016020	cell periphery;membrane	GO:0008324	cation transmembrane transporter activity	GO:0044409;GO:0035891	entry into host;exit from host cell	N/A	N/A
PF3D7_0822800	PF3D7_0822800.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,005,414..1,007,397(+)	U5 small nuclear ribonucleoprotein 40 kDa protein, putative	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0071013;GO:0005732	catalytic step 2 spliceosome;sno(s)RNA-containing ribonucleoprotein complex	GO:0003723	RNA binding	GO:0000375	RNA splicing, via transesterification reactions	N/A	2.3.1.48 (Histone acetyltransferase)
PF3D7_0822900	PF3D7_0822900.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,006,504..1,011,755(-)	PhIL1-interacting candidate PIC2	N/A	N/A	N/A	N/A	N/A	N/A	GO:0070258;GO:0005634	inner membrane pellicle complex;nucleus	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0823000	PF3D7_0823000.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,012,878..1,017,485(-)	serine/threonine protein kinase VPS15, putative	GO:0016021	integral component of membrane	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	GO:1903561;GO:0005770;GO:0071561;GO:0034271;GO:0034272	extracellular vesicle;late endosome;nucleus-vacuole junction;phosphatidylinositol 3-kinase complex, class III, type I;phosphatidylinositol 3-kinase complex, class III, type II	GO:0004674	protein serine/threonine kinase activity	GO:0030242;GO:0045324;GO:0016236;GO:0036092;GO:0006468;GO:0006623	autophagy of peroxisome;late endosome to vacuole transport;macroautophagy;phosphatidylinositol-3-phosphate biosynthetic process;protein phosphorylation;protein targeting to vacuole	N/A	N/A
PF3D7_0823100	PF3D7_0823100.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,018,071..1,021,346(-)	RWD domain-containing protein, putative	N/A	N/A	GO:0005515	protein binding	N/A	N/A	GO:0005844	polysome	N/A	N/A	GO:0002181	cytoplasmic translation	N/A	2.7.1.67 (1-phosphatidylinositol 4-kinase)
PF3D7_0823200	PF3D7_0823200.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,021,372..1,025,708(-)	RNA-binding protein	N/A	N/A	GO:0003676;GO:0005515	nucleic acid binding;protein binding	N/A	N/A	GO:0005737;GO:0005634;GO:1990904	cytoplasm;nucleus;ribonucleoprotein complex	GO:0003723;GO:0003729	RNA binding;mRNA binding	GO:0006417	regulation of translation	N/A	N/A
PF3D7_0823300	PF3D7_0823300.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,028,410..1,034,211(+)	histone acetyltransferase GCN5	N/A	N/A	GO:0008080;GO:0004402;GO:0005515	N-acetyltransferase activity;histone acetyltransferase activity;protein binding	N/A	N/A	GO:0000123;GO:0005634	histone acetyltransferase complex;nucleus	GO:0010484;GO:0005515;GO:0003712	H3 histone acetyltransferase activity;protein binding;transcription coregulator activity	GO:0044409;GO:0043966;GO:0080182;GO:0043970;GO:0006355;GO:0009410	entry into host;histone H3 acetylation;histone H3-K4 trimethylation;histone H3-K9 acetylation;regulation of transcription, DNA-templated;response to xenobiotic stimulus	2.3.1.48 (Histone acetyltransferase)	2.3.1.48 (Histone acetyltransferase)
PF3D7_0823400	PF3D7_0823400.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,034,417..1,036,428(+)	alpha/beta hydrolase, putative	N/A	N/A	GO:0016787	hydrolase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0823500	PF3D7_0823500.1	Plasmodium falciparum 3D7	Pf3D7_08_v3:1,036,973..1,038,764(-)	inner membrane complex protein 1i, putative	N/A	N/A	N/A	N/A	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	N/A	N/A
